City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aksu,41.1231,80.2644,85.64,20,0,9.04,CN,1658293787
Phan Thiet,10.9333,108.1,83.66,73,100,9.35,VN,1658293787
Alberton,46.8168,-64.0654,65.05,87,36,20.58,CA,1658293787
Vaini,-21.2,-175.2,73.56,100,20,11.5,TO,1658293787
Nome,64.5011,-165.4064,46.47,71,100,5.75,US,1658293536
Rikitea,-23.1203,-134.9692,74.16,76,1,7.31,PF,1658293788
Hobart,-42.8794,147.3294,49.86,67,20,4.61,AU,1658293788
Norman Wells,65.282,-126.8329,62.55,56,8,2.59,CA,1658293789
Ushuaia,-54.8,-68.3,37.06,87,75,13.8,AR,1658293789
Bairiki Village,1.3292,172.9752,82.4,83,75,10.36,KI,1658293789
Nikolskoye,59.7035,30.7861,61.79,78,26,10.69,RU,1658293790
Cherskiy,68.75,161.3,46.54,62,94,15.61,RU,1658293790
Katsuura,35.1333,140.3,89.62,78,93,8.43,JP,1658293790
Barrow,71.2906,-156.7887,42.82,81,100,11.5,US,1658293791
Ribeira Grande,38.5167,-28.7,71.49,89,17,4.88,PT,1658293791
Arraial do Cabo,-22.9661,-42.0278,68.16,91,0,6.55,BR,1658293791
Bredasdorp,-34.5322,20.0403,44.78,87,11,3.22,ZA,1658293792
Leningradskiy,69.3833,178.4167,33.4,98,100,20.51,RU,1658293792
Lavrentiya,65.5833,-171.0,42.3,72,96,8.95,RU,1658293792
Tuatapere,-46.1333,167.6833,43.23,84,97,1.86,NZ,1658293792
Nyurba,63.2842,118.3319,65.5,58,97,8.93,RU,1658293793
Punta Arenas,-53.15,-70.9167,35.71,64,75,47.18,CL,1658293793
Yellowknife,62.456,-114.3525,59.65,86,93,12.26,CA,1658293793
Bubaque,11.2833,-15.8333,78.37,83,98,15.95,GW,1658293794
East London,-33.0153,27.9116,61.68,86,98,13.62,ZA,1658293794
Mulanje,-16.0316,35.5,63.0,78,37,2.33,MW,1658293794
Martinez,38.0194,-122.1341,73.26,67,0,5.75,US,1658293530
Tiksi,71.6872,128.8694,34.21,95,100,13.24,RU,1658293795
Sangmélima,2.9333,11.9833,64.0,99,90,2.19,CM,1658293795
Hamilton,39.1834,-84.5333,77.81,85,0,6.91,US,1658293689
José de Freitas,-4.7564,-42.5756,72.55,70,99,3.51,BR,1658293796
Port Alfred,-33.5906,26.891,54.18,97,100,1.99,ZA,1658293796
Vao,-22.6667,167.4833,74.35,89,68,11.61,NC,1658293796
Palauig,15.435,119.9045,87.85,67,11,6.49,PH,1658293797
Ahipara,-35.1667,173.1667,55.47,84,72,12.24,NZ,1658293797
Nanortalik,60.1432,-45.2371,47.05,96,100,11.3,GL,1658293797
Port Elizabeth,-33.918,25.5701,53.31,99,100,3.0,ZA,1658293798
Jamestown,42.097,-79.2353,74.79,86,0,0.0,US,1658293508
Albany,42.6001,-73.9662,72.79,88,56,5.26,US,1658293126
Yangi Marg`ilon,40.4272,71.7189,90.32,23,0,4.61,UZ,1658293798
Ondjiva,-17.0667,15.7333,47.26,49,0,4.09,AO,1658293799
At-Bashi,41.1702,75.8106,70.45,28,0,1.72,KG,1658293799
Río Gallegos,-51.6226,-69.2181,33.85,80,0,27.63,AR,1658293664
Sampit,-2.5333,112.95,90.72,52,45,3.13,ID,1658293799
Kavaratti,10.5669,72.642,81.19,80,100,20.74,IN,1658293800
Manuk Mangkaw,4.8,119.85,83.64,73,14,7.18,PH,1658293800
Busselton,-33.65,115.3333,64.92,68,79,16.78,AU,1658293800
Bambous Virieux,-20.3428,57.7575,71.22,69,97,23.6,MU,1658293801
Hong Kong,22.2855,114.1577,93.25,99,82,12.19,HK,1658293203
Sayyan,15.1718,44.3244,59.31,72,100,5.66,YE,1658293801
Opuwo,-18.0607,13.84,53.1,44,0,5.46,NA,1658293801
Broken Hill,-31.95,141.4333,52.93,48,85,12.75,AU,1658293636
Cape Town,-33.9258,18.4232,57.38,81,8,5.99,ZA,1658293573
Mar del Plata,-38.0023,-57.5575,45.09,81,43,5.99,AR,1658293539
Necochea,-38.5473,-58.7368,49.75,47,0,15.99,AR,1658293802
Mordovo,52.0834,40.77,62.83,75,11,11.81,RU,1658293802
Saint-Philippe,-21.3585,55.7679,73.22,71,51,18.5,RE,1658293803
Lebu,-37.6167,-73.65,48.16,92,11,5.21,CL,1658293803
Shirokiy,49.758,129.523,75.67,71,82,6.82,RU,1658293804
Sheboygan,43.7333,-87.9334,80.58,76,100,14.97,US,1658293804
Fergus Falls,46.283,-96.0776,72.66,85,100,13.8,US,1658293804
Mataura,-46.1927,168.8643,44.47,80,96,2.17,NZ,1658293805
Hermanus,-34.4187,19.2345,51.13,75,25,5.26,ZA,1658293805
Airai,-8.9266,125.4092,72.59,49,74,3.44,TL,1658293222
Pisco,-13.7,-76.2167,60.85,88,100,4.61,PE,1658293806
Tautira,-17.7333,-149.15,76.64,67,0,3.87,PF,1658293806
Butaritari,3.0707,172.7902,82.11,79,89,13.73,KI,1658293806
Kloulklubed,7.0419,134.2556,81.1,73,100,3.44,PW,1658293807
College,64.8569,-147.8028,55.35,87,75,4.61,US,1658293807
Ilulissat,69.2167,-51.1,44.62,87,75,1.14,GL,1658293807
Coyhaique,-45.5752,-72.0662,39.15,93,100,5.75,CL,1658293671
George Town,5.4112,100.3354,89.89,72,20,9.22,MY,1658293662
Iqaluit,63.7506,-68.5145,40.69,93,100,11.01,CA,1658293755
Coquimbo,-29.9533,-71.3436,51.53,100,100,2.3,CL,1658293808
Bluff,-46.6,168.3333,44.8,69,100,10.25,NZ,1658293809
Ormara,25.2088,64.6357,84.22,85,85,14.45,PK,1658293809
Sitka,57.0531,-135.33,55.29,82,100,10.36,US,1658293738
Ponta do Sol,32.6667,-17.1,70.43,75,17,5.46,PT,1658293810
Thompson,55.7435,-97.8558,71.76,46,92,5.68,CA,1658293810
Baghlan,36.1307,68.7083,99.41,10,0,6.51,AF,1658293810
Dikson,73.5069,80.5464,46.67,61,81,15.55,RU,1658293811
Tcholliré,8.4022,14.1698,69.1,97,100,1.14,CM,1658293811
New Norfolk,-42.7826,147.0587,49.5,54,3,1.9,AU,1658293812
Grand Forks,47.9417,-97.4337,69.73,73,75,17.27,US,1658293812
Vanavara,60.34,102.2797,70.23,45,99,7.4,RU,1658293812
Okitipupa,6.5047,4.7839,70.5,92,43,2.8,NG,1658293813
Noumea,-22.2763,166.4572,77.0,99,99,3.06,NC,1658293598
Honiara,-9.4333,159.95,84.15,70,17,5.82,SB,1658293813
Bengkulu,-3.8004,102.2655,84.58,68,80,7.38,ID,1658293814
Nizwá,22.9333,57.5333,85.35,70,32,3.0,OM,1658293622
Cidreira,-30.1811,-50.2056,57.61,92,5,6.04,BR,1658293814
São Cristóvão,-11.0147,-37.2064,75.11,88,40,8.05,BR,1658293601
Hambantota,6.1241,81.1185,86.34,67,98,13.82,LK,1658293815
Saint Paul Harbor,57.79,-152.4072,54.91,76,100,4.61,US,1658293815
Cabo San Lucas,22.8909,-109.9124,85.6,73,73,1.01,MX,1658293565
Hilo,19.7297,-155.09,76.73,81,0,3.44,US,1658293685
Linxia Chengguanzhen,35.6003,103.2064,78.12,36,0,3.49,CN,1658293815
Aleksandrov Gay,50.147,48.5704,73.85,36,0,8.21,RU,1658293816
Kapit,2.0167,112.9333,95.86,43,55,2.33,MY,1658293816
Castro,-24.7911,-50.0119,57.07,98,19,5.37,BR,1658293817
Ancud,-41.8697,-73.8203,51.22,95,100,19.42,CL,1658293817
Kaitangata,-46.2817,169.8464,43.79,78,98,5.21,NZ,1658293817
Atuona,-9.8,-139.0333,77.43,75,63,14.0,PF,1658293818
Souillac,-20.5167,57.5167,69.55,66,67,22.95,MU,1658293818
Srednekolymsk,67.45,153.6833,56.48,41,97,5.99,RU,1658293818
Mahébourg,-20.4081,57.7,71.26,68,86,24.09,MU,1658293819
Trelew,-43.249,-65.3051,50.61,62,95,13.78,AR,1658293819
Hasaki,35.7333,140.8333,95.29,74,76,8.41,JP,1658293819
Touros,-5.1989,-35.4608,71.49,88,3,13.94,BR,1658293820
Ol'ga,43.7444,135.2892,72.14,68,62,7.38,RU,1658293820
Oranjemund,-28.55,16.4333,50.25,84,0,11.03,NA,1658293820
Carahue,-38.7,-73.1667,48.65,94,77,2.95,CL,1658293821
Saint George,37.1041,-113.5841,96.64,26,0,6.91,US,1658293821
Acarí,-15.4311,-74.6158,64.11,76,65,1.54,PE,1658293821
Kaa-Khem,51.6833,94.7333,71.28,33,51,5.08,RU,1658293822
Kyzyl-Suu,42.3414,78.0056,67.24,48,4,6.64,KG,1658293822
Flinders,-34.5833,150.8552,58.17,84,54,8.99,AU,1658293822
Aizpute,56.7167,21.6,60.03,66,27,4.43,LV,1658293823
Kaolinovo,43.6167,27.1167,70.84,40,1,1.9,BG,1658293823
Rundu,-17.9333,19.7667,45.18,62,0,5.75,NA,1658293823
Huilong,31.8111,121.655,90.19,68,73,9.78,CN,1658293824
Ipueiras,-7.0333,-40.45,65.75,81,29,12.21,BR,1658293824
Provideniya,64.3833,-173.3,50.36,71,0,13.42,RU,1658293824
Japura,-0.3167,102.35,86.94,65,100,4.21,ID,1658293825
Kieta,-6.2167,155.6333,82.69,74,42,4.21,PG,1658293825
Kapoeta,4.7717,33.5903,77.04,56,94,10.27,SS,1658293825
Carnarvon,-24.8667,113.6333,76.77,42,68,13.58,AU,1658293826
Kapaa,22.0752,-159.319,82.38,82,40,17.27,US,1658293826
Seymchan,62.8833,152.4333,59.63,70,100,5.59,RU,1658293826
Leh,34.1667,77.5833,71.37,22,7,4.74,IN,1658293827
Ojinaga,29.5667,-104.4167,94.41,22,0,8.05,MX,1658293827
Tasiilaq,65.6145,-37.6368,37.56,91,84,6.76,GL,1658293827
Chapais,49.7834,-74.8492,50.41,88,2,5.12,CA,1658293827
Poum,-20.2333,164.0167,75.99,85,96,12.01,NC,1658293828
San Cristobal,7.7669,-72.225,69.98,95,100,2.57,VE,1658293565
La Providencia,28.7167,-111.5833,87.21,75,71,8.48,MX,1658293828
Avarua,-21.2078,-159.775,73.45,73,75,6.91,CK,1658293829
Hithadhoo,-0.6,73.0833,81.25,74,81,6.35,MV,1658293829
Mulegé,26.8833,-111.9833,86.25,56,39,4.09,MX,1658293829
Laas,46.6166,10.7002,65.35,85,79,1.39,IT,1658293830
Marawi,7.9986,124.2928,80.22,71,45,5.23,PH,1658293830
Amapá,1.0,-52.0,71.44,99,100,0.92,BR,1658293830
Jinchang,38.4953,102.1739,86.07,15,0,6.78,CN,1658293831
Koutiala,12.3917,-5.4642,72.12,92,94,13.51,ML,1658293831
Angicos,-5.6656,-36.6011,71.15,70,7,9.69,BR,1658293831
Cap Malheureux,-19.9842,57.6142,71.47,61,41,11.99,MU,1658293832
Vardø,70.3705,31.1107,55.38,94,100,16.11,NO,1658293832
Bowen,-20.0167,148.2333,70.81,70,89,12.53,AU,1658293832
Ust-Maya,60.4167,134.5333,86.45,37,55,7.96,RU,1658293833
Saskylakh,71.9167,114.0833,49.32,50,93,15.32,RU,1658293833
Sharkan,57.2989,53.8712,63.79,67,18,12.8,RU,1658293833
Iralaya,15.0,-83.2333,80.13,78,74,12.26,HN,1658293834
Quilmaná,-12.95,-76.3833,62.11,83,77,2.17,PE,1658293834
Puerto Ayora,-0.7393,-90.3518,67.55,98,50,5.01,EC,1658293835
Huron,41.1501,-82.5499,76.69,82,55,7.81,US,1658293835
Shingū,33.7333,135.9833,90.54,49,84,7.72,JP,1658293835
Banjar,-8.19,114.9675,85.69,59,9,3.42,ID,1658293836
Zeya,53.75,127.2667,80.74,48,94,4.21,RU,1658293836
Caravelas,-17.7125,-39.2481,68.7,93,9,2.3,BR,1658293836
Ust'-Ordynskiy,52.805,104.7508,70.09,46,69,7.74,RU,1658293837
Azul,-36.777,-59.8585,44.35,71,44,8.32,AR,1658293837
Tokur,53.1333,132.9,54.25,91,100,3.91,RU,1658293837
Isangel,-19.55,169.2667,79.93,76,4,9.75,VU,1658293838
Severo-Kuril'sk,50.6789,156.125,51.42,97,100,17.29,RU,1658293838
Rosetown,51.5501,-108.0014,67.66,74,44,4.29,CA,1658293839
Nouadhibou,20.931,-17.0347,67.39,96,56,19.98,MR,1658293839
Chui,-33.6971,-53.4616,44.56,91,0,5.91,UY,1658293839
Taperoá,-7.2075,-36.8267,63.48,92,9,13.2,BR,1658293840
Arica,-18.475,-70.3042,59.23,77,100,3.44,CL,1658293840
Idlib,35.9306,36.6339,81.54,43,0,7.2,SY,1658293840
Eureka,40.8021,-124.1637,55.92,85,62,1.01,US,1658293841
Izumo,35.3667,132.7667,83.46,63,55,11.34,JP,1658293841
Narsaq,60.9167,-46.05,48.42,92,100,2.01,GL,1658293841
Zilair,52.2332,57.4392,66.31,61,60,10.2,RU,1658293841
Antofagasta,-23.65,-70.4,54.68,72,86,2.77,CL,1658293607
Lapeer,43.0514,-83.3188,77.49,60,0,6.91,US,1658293617
Richards Bay,-28.783,32.0377,65.93,51,46,3.33,ZA,1658293724
Arlit,18.7369,7.3853,86.43,40,79,3.06,NE,1658293842
Guerrero Negro,27.9769,-114.0611,70.77,75,18,10.56,MX,1658293842
Bagan,54.1001,77.6646,74.05,42,73,6.49,RU,1658293843
Santa Maria,-29.6842,-53.8069,50.18,96,1,5.1,BR,1658293843
Port Lincoln,-34.7333,135.8667,52.29,56,39,10.49,AU,1658293843
Chokurdakh,70.6333,147.9167,52.83,55,94,10.76,RU,1658293844
Pontianak,-0.0333,109.3333,89.58,62,75,5.75,ID,1658293844
Waipawa,-41.4122,175.5153,48.25,93,99,13.49,NZ,1658293845
Waingapu,-9.6567,120.2641,84.27,51,32,14.58,ID,1658293845
Pāvilosta,56.8879,21.1859,60.71,69,27,5.99,LV,1658293845
Puerto Peñasco,31.3167,-113.5333,86.92,81,58,13.0,MX,1658293846
Yerbogachën,61.2767,108.0108,69.3,65,88,4.79,RU,1658293846
Ust'-Koksa,50.2696,85.6108,64.0,52,34,1.43,RU,1658293846
Gazojak,41.1875,61.4036,99.01,16,0,18.92,TM,1658293847
Lagoa,39.05,-27.9833,71.06,88,4,9.64,PT,1658293847
Yuanping,38.7153,112.7575,85.12,36,29,4.23,CN,1658293847
Blyth,55.1271,-1.5086,65.08,86,0,4.61,GB,1658293848
Peque,7.0212,-75.9093,65.21,97,100,0.47,CO,1658293848
Nevel'sk,46.6733,141.8633,66.27,78,97,4.88,RU,1658293848
Port Hardy,50.6996,-127.4199,54.25,89,4,11.18,CA,1658293849
Port Shepstone,-30.7414,30.455,63.14,67,1,16.06,ZA,1658293849
Torbay,47.6666,-52.7314,67.28,96,100,16.11,CA,1658293849
Mossamedes,-15.1961,12.1522,60.44,88,0,4.99,AO,1658293850
Sabha,27.0377,14.4283,75.99,42,1,9.8,LY,1658293850
Pevek,69.7008,170.3133,32.07,98,100,13.78,RU,1658293850
São Filipe,14.8961,-24.4956,77.97,79,71,5.08,CV,1658293851
Mnogovershinnyy,53.9353,139.9242,63.95,71,100,3.24,RU,1658293851
Birao,10.2849,22.7882,70.72,93,100,5.88,CF,1658293851
Bako,5.7833,36.5667,66.42,63,95,1.92,ET,1658293852
Padang,-0.9492,100.3543,86.05,71,100,5.19,ID,1658293852
Cobija,-11.0267,-68.7692,73.31,71,51,2.8,BO,1658293852
Mikhaylovka,50.06,43.2379,70.79,45,10,6.87,RU,1658293853
Bainbridge Island,47.6262,-122.5212,71.46,73,0,4.61,US,1658293662
Jacareacanga,-6.2222,-57.7528,71.51,64,38,2.35,BR,1658293853
Azanka,58.0401,64.7893,64.36,98,98,6.38,RU,1658293853
Digby,44.6169,-65.7655,65.59,80,0,13.0,CA,1658293854
Wolfsburg,52.4333,10.8,80.1,44,44,5.82,DE,1658293854
Saint-Augustin,51.226,-58.6502,57.49,96,100,23.44,CA,1658293854
Mogadishu,2.0371,45.3438,76.21,76,100,19.48,SO,1658293855
Cayenne,4.9333,-52.3333,75.24,1,0,0.0,GF,1658293855
Pyn U Lwin,22.0333,96.4667,79.09,68,100,5.68,MM,1658293855
Khatanga,71.9667,102.5,53.33,41,55,19.55,RU,1658293856
Vilhena,-12.7406,-60.1458,64.54,49,1,2.95,BR,1658293856
Estelle,29.8458,-90.1067,86.0,77,0,3.44,US,1658293856
Vernon,50.2581,-119.2691,69.13,50,0,3.94,CA,1658293857
Qaanaaq,77.484,-69.3632,39.6,77,98,1.99,GL,1658293857
Lethem,3.3803,-59.7968,74.05,91,76,4.0,GY,1658293857
Chernyshevskiy,63.0128,112.4714,58.32,75,79,10.63,RU,1658293858
Batagay,67.6333,134.6333,50.59,66,100,7.02,RU,1658293858
Anáhuac,27.2333,-100.15,86.58,51,55,25.68,MX,1658293858
Raudeberg,61.9875,5.1352,60.96,93,98,15.75,NO,1658293859
Cottonwood,34.7392,-112.0099,89.44,43,34,1.01,US,1658293730
Olinda,-8.0089,-34.8553,73.13,78,40,6.91,BR,1658293859
Puerto Escondido,15.85,-97.0667,80.15,88,24,5.77,MX,1658293859
Tura,25.5198,90.2201,77.52,93,100,6.02,IN,1658293860
Lahuachaca,-17.3667,-67.6667,39.65,61,9,4.61,BO,1658293860
Mount Gambier,-37.8333,140.7667,54.55,50,2,2.93,AU,1658293860
Geraldton,-28.7667,114.6,73.81,49,87,13.8,AU,1658293861
Saint-Pierre,-21.3393,55.4781,73.29,54,0,9.22,RE,1658293861
North Bend,43.4065,-124.2243,58.91,96,100,5.75,US,1658293861
Qui Nhon,13.7667,109.2333,85.26,70,100,8.01,VN,1658293786
Talas,38.6908,35.5538,61.47,63,0,9.22,TR,1658293862
Manokwari,-0.8667,134.0833,76.26,86,100,2.75,ID,1658293862
Powell River,49.8496,-124.5361,69.01,78,0,1.45,CA,1658293578
Baharly,38.4362,57.4316,96.82,15,0,7.31,TM,1658293863
Venado Tuerto,-33.7456,-61.9688,46.76,74,2,9.15,AR,1658293863
Tuktoyaktuk,69.4541,-133.0374,49.01,87,99,4.29,CA,1658293863
Labuhan,-6.8844,112.2051,85.55,61,46,9.57,ID,1658293864
Broome,42.2506,-75.833,73.65,87,53,3.04,US,1658293864
Kyra,49.5776,111.9753,83.34,34,99,6.96,RU,1658293864
Marzuq,14.4,46.4667,74.89,62,100,2.28,YE,1658293865
Ambon City,-3.6954,128.1814,86.14,70,20,5.75,ID,1658293865
Ukiah,39.1502,-123.2078,75.09,27,0,0.0,US,1658293865
Guaymas,27.9333,-110.9,83.88,69,100,7.92,MX,1658293866
Ketchikan,55.3422,-131.6461,59.47,77,100,4.61,US,1658293866
Siocon,7.7061,122.1353,84.81,72,33,1.83,PH,1658293866
Sambava,-14.2667,50.1667,70.32,83,22,13.04,MG,1658293867
Vila Franca do Campo,37.7167,-25.4333,73.2,89,88,5.23,PT,1658293867
Zenzeli,45.9241,47.0474,71.4,60,100,2.46,RU,1658293867
Layou,13.2,-61.2667,77.27,83,43,10.29,VC,1658293868
Mareeba,-17.0,145.4333,74.12,73,63,4.88,AU,1658293868
Saint Anthony,45.0205,-93.218,76.78,56,0,17.27,US,1658293868
Colombo,6.9319,79.8478,84.15,82,100,15.57,LK,1658293598
São João da Barra,-21.6403,-41.0511,69.49,92,32,7.29,BR,1658293869
Alofi,-19.0595,-169.9187,76.42,74,7,24.09,NU,1658293869
Fort Smith,35.3859,-94.3986,95.04,55,0,0.0,US,1658293590
Cockburn Town,21.4612,-71.1419,81.82,78,1,21.32,TC,1658293870
Laguna,38.421,-121.4238,84.31,38,0,10.36,US,1658293870
Miles City,46.4083,-105.8406,72.57,43,0,5.75,US,1658293870
Klaksvík,62.2266,-6.589,52.72,96,91,9.08,FO,1658293871
Teknāf,20.8624,92.3058,86.0,72,100,6.11,BD,1658293871
Krasnoarmeysk,51.0239,45.6969,66.33,55,2,10.0,RU,1658293871
Newport,51.5877,-2.9984,67.24,81,85,7.92,GB,1658293649
Henties Bay,-22.116,14.2845,53.37,91,15,2.93,NA,1658293872
Quesnel,52.9999,-122.5029,58.64,68,5,0.98,CA,1658293872
Mount Isa,-20.7333,139.5,78.57,18,0,12.66,AU,1658293873
Ordubad,38.9059,46.0234,83.73,36,0,10.92,AZ,1658293873
Itoman,26.1247,127.6694,93.58,84,20,10.36,JP,1658293873
